customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-05-17
2,장춘자,F,32,대구,2023-12-20
3,김상현,F,61,성남,2025-03-22
4,김재호,F,55,울산,2025-05-05
5,최준서,F,19,부산,2023-09-23
6,한순자,F,32,성남,2024-03-04
7,이미숙,F,53,인천,2023-12-31
8,조지원,M,32,수원,2025-11-23
9,우영미,M,69,서울,2025-05-13
10,강채원,F,62,울산,2025-06-09
11,김서윤,M,35,대구,2024-07-29
12,김동현,F,66,대전,2024-07-16
13,이영미,F,23,울산,2024-05-02
14,심재호,F,40,대전,2025-07-14
15,서민준,M,69,서울,2024-11-04
16,윤윤서,M,52,부산,2025-10-05
17,황서윤,M,23,성남,2023-10-21
18,이상철,M,58,고양,2026-07-15
19,이은지,M,54,인천,2024-11-22
20,박수민,F,20,인천,2024-06-12
21,이은경,M,23,인천,2026-05-27
22,김현준,F,42,광주,2025-03-27
23,김민석,M,58,대전,2025-08-03
24,이명자,F,41,대전,2024-11-07
25,박현지,F,60,광주,2026-04-16
26,오정수,F,56,대구,2025-04-26
27,윤민석,F,28,수원,2025-01-04
28,곽중수,M,35,성남,2024-06-30
29,김하은,F,61,대전,2026-04-27
30,윤우진,F,32,서울,2024-03-01
31,박지영,M,43,광주,2025-04-19
32,이경수,F,31,고양,2026-06-30
33,류수진,M,31,수원,2023-11-18
34,하미경,M,59,수원,2025-03-01
35,권정훈,F,34,대구,2024-02-03
36,최상훈,F,65,성남,2026-04-29
37,김영철,M,65,고양,2025-11-24
38,이현준,M,55,울산,2025-08-28
39,박민석,M,32,대구,2024-05-19
40,최상현,M,23,서울,2024-05-14
41,강상현,F,27,대구,2026-06-04
42,김서현,M,56,부산,2025-09-18
43,김진우,M,42,고양,2025-06-02
44,안준서,M,51,광주,2024-04-11
45,이승현,F,61,부산,2025-02-08
46,장현지,M,67,대전,2024-01-01
47,이준호,F,36,울산,2024-06-14
48,박승현,F,47,서울,2024-07-17
49,유시우,M,50,대구,2026-04-17
50,김혜진,F,58,광주,2026-03-20
51,남지혜,F,27,대전,2024-03-16
52,김승민,F,52,성남,2023-11-19
53,민상훈,F,56,대전,2026-01-22
54,이진호,M,19,부산,2026-09-10
55,오민지,M,69,광주,2024-08-06
56,최유진,F,21,인천,2025-12-13
57,최영일,F,23,수원,2026-04-07
58,성도현,F,66,성남,2024-04-06
59,장서현,F,26,수원,2024-01-25
60,김은서,F,34,성남,2025-07-25
61,최영진,M,31,성남,2026-07-06
62,오상호,F,63,광주,2024-11-22
63,이숙자,M,60,대전,2025-12-18
64,박현준,M,51,수원,2026-09-11
65,김상훈,F,33,인천,2026-07-04
66,양영미,F,39,서울,2024-03-06
67,한은영,F,55,인천,2026-09-02
68,김지은,F,22,서울,2024-08-09
69,심미정,F,22,서울,2024-01-20
70,최서준,M,22,성남,2025-07-09
71,김은주,F,35,수원,2024-07-01
72,백준혁,F,52,대구,2023-12-26
73,이건우,M,33,수원,2026-01-08
74,이지아,M,30,부산,2025-05-12
75,김도현,F,60,울산,2026-05-10
76,정지현,M,45,울산,2025-06-15
77,김성수,M,64,서울,2026-05-28
78,고하윤,F,21,울산,2024-05-03
79,김종수,M,69,부산,2026-05-12
80,강민재,F,30,인천,2026-07-01
81,구지원,M,26,울산,2026-05-09
82,서성진,F,35,수원,2026-07-02
83,문지원,F,22,수원,2024-07-04
84,김채원,F,21,성남,2026-04-14
85,류영길,F,23,인천,2024-08-15
86,김경자,F,44,수원,2024-04-14
87,문현우,M,31,울산,2024-07-17
88,이현지,F,28,울산,2025-04-25
89,김현지,F,42,광주,2024-03-29
90,이미영,M,36,울산,2025-01-04
91,이은영,M,27,인천,2025-03-29
92,최상훈,M,31,서울,2025-10-31
93,유영철,F,65,대전,2025-11-12
94,장아름,F,21,고양,2023-12-01
95,이숙자,M,50,성남,2026-04-02
96,이숙자,F,21,성남,2024-12-06
97,이민수,F,29,부산,2024-12-19
98,장하윤,F,61,인천,2025-07-21
99,최건우,M,25,고양,2024-07-26
100,최재호,F,55,고양,2025-02-06
101,김영수,F,57,부산,2026-05-30
102,김미경,M,60,고양,2025-04-02
103,이지은,M,34,인천,2025-12-17
104,김서연,M,33,광주,2023-10-12
105,박준혁,M,26,광주,2023-12-04
106,강병철,M,38,부산,2025-10-18
107,김재호,F,47,고양,2023-09-22
108,황미숙,F,22,성남,2024-12-24
109,성영진,F,50,광주,2023-11-10
110,홍영길,F,40,부산,2026-02-10
111,민은서,F,41,광주,2026-07-23
112,강정희,F,46,성남,2025-03-22
113,최하윤,M,57,성남,2025-12-09
114,김상호,F,60,성남,2025-08-14
115,박은정,M,60,부산,2024-07-12
116,이서준,F,34,부산,2024-08-31
117,김서현,F,65,성남,2025-10-15
118,김영순,F,35,광주,2025-05-02
119,김승현,F,63,대전,2026-06-03
120,한지혜,F,61,광주,2026-01-02
121,김성현,M,34,서울,2025-12-19
122,곽영자,F,58,울산,2025-12-13
123,조서윤,M,20,서울,2024-05-13
124,김성진,M,67,대구,2025-09-29
125,김영수,M,28,수원,2024-02-02
126,김영숙,M,53,서울,2025-05-26
127,윤민수,F,22,대구,2025-02-03
128,이상철,F,41,고양,2024-09-08
129,이지아,F,45,대구,2026-03-15
130,김경수,F,37,대전,2025-04-29
131,이은지,F,40,인천,2026-01-19
132,권현정,F,60,부산,2024-04-21
133,김민수,M,67,성남,2025-09-18
134,김정자,M,57,대구,2026-01-03
135,조정호,F,28,대구,2024-01-19
136,차미영,M,19,대구,2023-10-14
137,장진호,M,68,울산,2024-11-23
138,김정순,F,35,대구,2025-08-03
139,황준혁,F,42,서울,2025-07-05
140,나종수,M,32,인천,2024-09-30
141,이영일,M,40,광주,2024-09-23
142,류미숙,F,32,서울,2026-08-04
143,류정자,F,43,대전,2025-01-05
144,차수민,M,22,광주,2026-02-17
145,박영희,M,59,성남,2025-11-25
146,고준영,M,61,성남,2023-12-19
147,김예은,M,19,부산,2025-07-15
148,김준혁,M,29,고양,2024-04-02
149,안성현,M,20,부산,2026-05-07
150,이경숙,M,40,대전,2026-07-21
